rank,bgg_url,game_id,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
"		1397							",https://boardgamegeek.com/boardgame/93724/black-gold,93724,2,5,120,120,120,2011,6.91692,6.19342,883,//cf.geekdo-images.com/images/pic929955.jpg,13,Auction/Bidding* Commodity Speculation,1906,Bluffing* Economic* Exploration,2.6129
"		1398							",https://boardgamegeek.com/boardgame/10550/big-boggle,10550,2,8,10,10,10,1979,6.84952,6.19205,1002,//cf.geekdo-images.com/images/pic914821.jpg,8,Pattern Recognition,1622,Real-time* Word Game,1.5521
"		1400							",https://boardgamegeek.com/boardgame/18866/shear-panic,18866,2,4,45,45,45,2005,6.39962,6.19182,3358,//cf.geekdo-images.com/images/pic436963.jpg,10,Dice Rolling* Grid Movement* Hand Management* Pattern Building,4600,Animals,2.2256
"		1396							",https://boardgamegeek.com/boardgame/139033/archon-glory-machination,139033,2,4,120,90,120,2013,7.10434,6.19179,691,//cf.geekdo-images.com/images/pic1801656.jpg,12,Action / Movement Programming* Deck / Pool Building* Hand Management* Secret Unit Deployment* Worker Placement,1308,City Building* Economic* Medieval,3.1132
"		1404							",https://boardgamegeek.com/boardgame/6887/hearts,6887,3,7,30,30,30,1850,6.42637,6.19123,2926,//cf.geekdo-images.com/images/pic191579.jpg,8,Trick-taking,1493,Card Game* Movies / TV / Radio theme,1.786
"		1405							",https://boardgamegeek.com/boardgame/27463/galactic-emperor,27463,3,6,90,90,90,2008,6.64882,6.18991,1335,//cf.geekdo-images.com/images/pic252954.jpg,12,Dice Rolling* Modular Board* Tile Placement* Variable Phase Order,1330,Civilization* Science Fiction* Space Exploration,2.9154
"		1490							",https://boardgamegeek.com/boardgame/198953/pax-renaissance,198953,2,4,120,60,120,2016,8.17697,6.18953,334,//cf.geekdo-images.com/images/pic3009233.jpg,12,Card Drafting* Simulation,1314,Renaissance,3.9697
"		1399							",https://boardgamegeek.com/boardgame/19643/world-warcraft-trading-card-game,19643,2,2,20,20,20,2006,6.66928,6.18951,1652,//cf.geekdo-images.com/images/pic154602.jpg,12,Hand Management* Variable Player Powers,2676,Card Game* Collectible Components* Fantasy* Video Game Theme,2.5629
"		1407							",https://boardgamegeek.com/boardgame/1037/deadlands-doomtown,1037,2,6,45,45,45,1998,7.2959,6.18938,607,//cf.geekdo-images.com/images/pic56041.jpg,10,Hand Management* Modular Board* Variable Player Powers,859,American West* Card Game* City Building* Collectible Components* Fantasy* Fighting* Horror,3.0169
"		1423							",https://boardgamegeek.com/boardgame/34297/climbers,34297,2,5,45,45,45,2008,6.87769,6.18919,910,//cf.geekdo-images.com/images/pic711187.jpg,8,Modular Board* Tile Placement,911,Abstract Strategy* Racing,1.8875
"		1408							",https://boardgamegeek.com/boardgame/788/tales-arabian-nights,788,1,6,120,120,120,1985,7.08551,6.1891,738,//cf.geekdo-images.com/images/pic289256.jpg,12,Point to Point Movement* Storytelling* Trading* Variable Player Powers,1060,Adventure* Arabian* Fantasy,2.443
"		1406							",https://boardgamegeek.com/boardgame/40770/golden-city,40770,3,4,60,60,60,2009,6.65868,6.18908,1318,//cf.geekdo-images.com/images/pic689677.jpg,10,Area Control / Area Influence* Auction/Bidding* Route/Network Building,1882,Adventure* Ancient,2.2583
"		1412							",https://boardgamegeek.com/boardgame/75091/norenberc,75091,2,5,90,90,90,2010,6.84965,6.18868,933,//cf.geekdo-images.com/images/pic890010.jpg,12,Set Collection* Simultaneous Action Selection* Worker Placement,1018,Economic* Medieval,2.9583
"		1411							",https://boardgamegeek.com/boardgame/111148/wurfel-bohnanza,111148,2,5,45,45,45,2012,6.67447,6.1881,1321,//cf.geekdo-images.com/images/pic1197852.jpg,10,Dice Rolling,2154,Dice* Farming,1.3085
"		1409							",https://boardgamegeek.com/boardgame/296/medieval-merchant,296,2,6,90,60,90,1998,6.76824,6.18807,1066,//cf.geekdo-images.com/images/pic150859.jpg,12,Area Control / Area Influence* Route/Network Building,1415,Economic* Medieval,3.1074
"		1410							",https://boardgamegeek.com/boardgame/1194/speed-circuit,1194,2,6,120,120,120,1971,6.87383,6.18768,990,//cf.geekdo-images.com/images/pic251459.jpg,12,Action Point Allowance System* Modular Board* Simultaneous Action Selection,1856,Racing* Sports,2.065
"		1424							",https://boardgamegeek.com/boardgame/149241/assault-doomrock,149241,1,4,150,150,150,2014,7.24411,6.18724,618,//cf.geekdo-images.com/images/pic1808352.jpg,10,Co-operative Play* Dice Rolling* Modular Board* Role Playing* Variable Player Powers,1301,Adventure* Exploration* Fantasy* Fighting* Humor* Zombies,3.1064
"		1416							",https://boardgamegeek.com/boardgame/23451/space-dealer,23451,3,4,30,30,30,2006,6.58311,6.18701,1574,//cf.geekdo-images.com/images/pic147924.jpg,10,Pick-up and Deliver* Point to Point Movement* Simultaneous Action Selection* Trading,1703,City Building* Real-time* Science Fiction* Transportation,2.4049
"		1413							",https://boardgamegeek.com/boardgame/27225/bananagrams,27225,1,8,15,15,15,2006,6.35201,6.18676,5173,//cf.geekdo-images.com/images/pic2463443.jpg,7,Tile Placement,8781,Real-time* Word Game,1.3762
"		1452							",https://boardgamegeek.com/boardgame/194626/happy-salmon,194626,3,6,2,2,2,2016,6.95665,6.18636,836,//cf.geekdo-images.com/images/pic2913980.png,6,Simultaneous Action Selection,1616,Animals* Children's Game* Party Game* Real-time,1
"		1415							",https://boardgamegeek.com/boardgame/634/river-dragons,634,2,6,30,30,30,2000,6.46147,6.18624,2477,//cf.geekdo-images.com/images/pic1374907.jpg,8,Action / Movement Programming* Point to Point Movement* Simultaneous Action Selection,2968,Abstract Strategy* Racing,1.7113
"		1417							",https://boardgamegeek.com/boardgame/256/mississippi-queen,256,3,5,45,45,45,1997,6.38251,6.18558,3265,//cf.geekdo-images.com/images/pic174176.jpg,10,Grid Movement* Modular Board* Pick-up and Deliver,4559,Nautical* Racing,1.6962
"		1414							",https://boardgamegeek.com/boardgame/36708/leader-1,36708,2,10,150,90,150,2008,6.99335,6.18545,818,//cf.geekdo-images.com/images/pic382536.jpg,12,Modular Board* Simulation,910,Racing* Sports,2.5053
"		1422							",https://boardgamegeek.com/boardgame/41429/band-brothers-screaming-eagles,41429,2,2,90,90,90,2011,7.89424,6.18498,392,//cf.geekdo-images.com/images/pic735625.jpg,12,Dice Rolling* Hex-and-Counter* Modular Board,1147,Wargame* World War II,2.7049
"		1441							",https://boardgamegeek.com/boardgame/181345/dr-eureka,181345,1,4,15,15,15,2015,6.84631,6.18497,959,//cf.geekdo-images.com/images/pic2881000.jpg,8,Pattern Building,1751,Action / Dexterity* Children's Game* Puzzle* Real-time,1.2143
"		1418							",https://boardgamegeek.com/boardgame/5867/10-days-europe,5867,2,4,30,30,30,2002,6.59656,6.18442,1608,//cf.geekdo-images.com/images/pic1229641.jpg,10,Hand Management* Route/Network Building,1910,Aviation / Flight* Educational* Exploration* Travel,1.354
"		1421							",https://boardgamegeek.com/boardgame/508/blue-max,508,2,6,60,60,60,1983,7.10662,6.18437,723,//cf.geekdo-images.com/images/pic9636.jpg,13,Hex-and-Counter* Simultaneous Action Selection,1095,Aviation / Flight* Wargame* World War I,2.25
"		1434							",https://boardgamegeek.com/boardgame/112092/shadowrift,112092,1,6,120,45,120,2012,7.14035,6.1841,709,//cf.geekdo-images.com/images/pic2570089.jpg,14,Co-operative Play* Deck / Pool Building* Hand Management,1459,Card Game* Fantasy,2.6897
"		1420							",https://boardgamegeek.com/boardgame/1262/axis-allies-pacific,1262,2,3,240,240,240,2001,6.66174,6.18385,1738,//cf.geekdo-images.com/images/pic185485.jpg,12,Area Control / Area Influence* Area Movement* Partnerships,2908,Wargame* World War II,2.8649
"		1444							",https://boardgamegeek.com/boardgame/183231/adventure-land,183231,2,4,45,45,45,2015,7.04069,6.18311,724,//cf.geekdo-images.com/images/pic2958289.jpg,10,Area Control / Area Influence,1341,Fantasy,2.04
"		1428							",https://boardgamegeek.com/boardgame/145633/ascension-apprentice-edition,145633,2,2,30,30,30,2013,7.12812,6.18263,699,//cf.geekdo-images.com/images/pic1733803.jpg,13,Card Drafting* Deck / Pool Building* Hand Management,1690,Card Game* Fantasy,2
"		1425							",https://boardgamegeek.com/boardgame/71655/wok-star,71655,1,4,60,60,60,2010,6.86148,6.18238,907,//cf.geekdo-images.com/images/pic728335.jpg,10,Co-operative Play* Dice Rolling* Simultaneous Action Selection* Variable Player Powers,1456,Real-time,2.0339
"		1440							",https://boardgamegeek.com/boardgame/15954/conquest-paradise,15954,2,4,90,90,90,2007,6.82635,6.18226,995,//cf.geekdo-images.com/images/pic3207152.jpg,12,Area Control / Area Influence* Route/Network Building* Secret Unit Deployment* Simulation* Tile Placement,1813,Ancient* Civilization* Exploration* Nautical,2.4577
"		1437							",https://boardgamegeek.com/boardgame/2612/18al,2612,3,5,180,180,180,1999,7.28797,6.18185,537,//cf.geekdo-images.com/images/pic451367.jpg,14,Auction/Bidding* Route/Network Building* Stock Holding,608,Economic* Print & Play* Trains* Transportation,3.8955
"		1426							",https://boardgamegeek.com/boardgame/118000/africana,118000,2,4,60,60,60,2012,6.79707,6.18165,1024,//cf.geekdo-images.com/images/pic1203186.jpg,8,Card Drafting* Pick-up and Deliver* Point to Point Movement* Set Collection,1406,Adventure* Exploration* Travel,2.0183
"		1430							",https://boardgamegeek.com/boardgame/36888/after-flood,36888,3,3,180,180,180,2008,6.89491,6.18163,872,//cf.geekdo-images.com/images/pic352448.jpg,13,Area Control / Area Influence* Area-Impulse* Dice Rolling* Set Collection,1022,Ancient* Civilization* Fighting,3.7059
"		1470							",https://boardgamegeek.com/boardgame/192074/odins-ravens-second-edition,192074,2,2,30,15,30,2016,7.10906,6.18045,697,//cf.geekdo-images.com/images/pic2643412.jpg,10,Hand Management,1554,Animals* Card Game* Mythology* Racing,1.35
"		1427							",https://boardgamegeek.com/boardgame/140717/progress-evolution-technology,140717,1,5,90,90,90,2014,6.64728,6.18022,1368,//cf.geekdo-images.com/images/pic2042966.png,12,Action Point Allowance System* Card Drafting* Hand Management,2214,Card Game* Civilization,2.4194
"		1429							",https://boardgamegeek.com/boardgame/8490/age-napoleon,8490,2,2,360,120,360,2003,6.87705,6.18022,1021,//cf.geekdo-images.com/images/pic1248514.jpg,12,Area Movement* Campaign / Battle Card Driven* Dice Rolling* Simulation,2059,Napoleonic* Wargame,3.1494
"		1431							",https://boardgamegeek.com/boardgame/163/balderdash,163,2,6,60,60,60,1984,6.39091,6.18003,3923,//cf.geekdo-images.com/images/pic40574.jpg,12,Paper-and-Pencil* Voting,5957,Bluffing* Party Game* Word Game,1.4223
"		1432							",https://boardgamegeek.com/boardgame/7865/10-days-africa,7865,2,4,25,25,25,2003,6.56769,6.17933,1733,//cf.geekdo-images.com/images/pic1229634.jpg,10,Hand Management* Route/Network Building* Tile Placement,1960,Aviation / Flight* Travel,1.3883
"		1435							",https://boardgamegeek.com/boardgame/805/buffy-vampire-slayer-game,805,2,5,90,90,90,2000,6.6387,6.17914,1506,//cf.geekdo-images.com/images/pic97113.jpg,12,Partnerships* Role Playing* Roll / Spin and Move* Variable Player Powers,2540,Horror* Movies / TV / Radio theme,1.9866
"		1449							",https://boardgamegeek.com/boardgame/169318/city-spies-estoril-1942,169318,2,4,60,45,60,2015,7.30825,6.17904,562,//cf.geekdo-images.com/images/pic2860096.png,10,Area Control / Area Influence* Deck / Pool Building* Modular Board,1042,Spies/Secret Agents* World War II,2.7
"		1433							",https://boardgamegeek.com/boardgame/4491/cave-troll,4491,2,4,45,45,45,2002,6.41099,6.17827,2941,//cf.geekdo-images.com/images/pic2497113.jpg,10,Action Point Allowance System* Area Control / Area Influence* Hand Management* Point to Point Movement,4134,Fantasy,1.9503
"		1443							",https://boardgamegeek.com/boardgame/191572/animals-board,191572,2,4,30,15,30,2016,6.86365,6.17794,902,//cf.geekdo-images.com/images/pic2845593.jpg,8,Set Collection,1304,Animals,1.4615
"		1439							",https://boardgamegeek.com/boardgame/32116/airships,32116,2,4,60,45,60,2007,6.43201,6.17774,2434,//cf.geekdo-images.com/images/pic296139.jpg,10,Card Drafting* Dice Rolling* Set Collection,2700,Aviation / Flight* Dice* Industry / Manufacturing,1.8679
"		1442							",https://boardgamegeek.com/boardgame/37120/pack-stack,37120,3,6,45,30,45,2008,6.4403,6.1767,2431,//cf.geekdo-images.com/images/pic495850.jpg,10,Simultaneous Action Selection,2551,Action / Dexterity* Puzzle* Real-time,1.285
"		1438							",https://boardgamegeek.com/boardgame/38713/times-edicion-amarilla,38713,4,12,30,30,30,2008,7.40868,6.17662,514,//cf.geekdo-images.com/images/pic393663.jpg,0,Acting* Memory* Partnerships,828,Humor* Party Game,1.1333
"		1436							",https://boardgamegeek.com/boardgame/31291/espana-1936,31291,2,2,180,180,180,2007,7.28524,6.17629,594,//cf.geekdo-images.com/images/pic315102.jpg,14,Area Movement* Campaign / Battle Card Driven* Dice Rolling* Simulation,968,Civil War* Wargame,2.82
"		1445							",https://boardgamegeek.com/boardgame/1621/mutant-chronicles-siege-citadel,1621,2,5,120,120,120,1993,6.98921,6.17587,904,//cf.geekdo-images.com/images/pic314027.jpg,10,Action Point Allowance System* Grid Movement* Modular Board* Variable Player Powers,1468,Science Fiction* Wargame,2.2442
"		1448							",https://boardgamegeek.com/boardgame/124968/dungeon-command-tyranny-goblins,124968,2,4,90,90,90,2012,7.39836,6.17431,568,//cf.geekdo-images.com/images/pic1972748.jpg,12,Action Point Allowance System* Area Movement* Campaign / Battle Card Driven* Hand Management,1728,Card Game* Fantasy* Miniatures,2.6857
"		1455							",https://boardgamegeek.com/boardgame/143157/sos-titanic,143157,1,5,30,30,30,2013,6.72522,6.17363,1124,//cf.geekdo-images.com/images/pic1867874.jpg,8,Co-operative Play,1825,Card Game,1.6429
"		1447							",https://boardgamegeek.com/boardgame/21654/iliad,21654,2,6,45,45,45,2006,6.55355,6.17355,1724,//cf.geekdo-images.com/images/pic276935.jpg,10,Hand Management* Partnerships* Set Collection* Take That,2000,Ancient* Bluffing* Card Game* Mythology,2.0938
"		1450							",https://boardgamegeek.com/boardgame/3421/streetsoccer,3421,2,2,30,20,30,2002,6.58372,6.17338,1518,//cf.geekdo-images.com/images/pic249610.jpg,8,Dice Rolling* Grid Movement* Roll / Spin and Move,1352,Dice* Sports,1.5362
"		1475							",https://boardgamegeek.com/boardgame/195503/city-iron-second-edition,195503,2,4,120,120,120,2016,7.59986,6.17331,439,//cf.geekdo-images.com/images/pic2627609.jpg,13,Area Control / Area Influence* Deck / Pool Building* Hand Management,1179,Card Game* City Building* Civilization* Economic* Fantasy,3.1667
"		1446							",https://boardgamegeek.com/boardgame/157789/pandemic-contagion,157789,2,5,30,30,30,2014,6.50841,6.17273,1968,//cf.geekdo-images.com/images/pic2037506.png,14,Area Control / Area Influence* Hand Management,4156,Card Game* Medical,1.9054
"		1459							",https://boardgamegeek.com/boardgame/197572/warhammer-quest-silver-tower,197572,2,4,120,60,120,2016,7.68405,6.17243,594,//cf.geekdo-images.com/images/pic3061864.jpg,14,Co-operative Play* Dice Rolling* Modular Board* Role Playing* Storytelling* Variable Player Powers,1458,Adventure* Exploration* Fantasy* Fighting* Miniatures,2.5
"		1456							",https://boardgamegeek.com/boardgame/27048/duel-dark,27048,1,2,45,45,45,2007,6.65928,6.17239,1345,//cf.geekdo-images.com/images/pic168418.jpg,10,Action / Movement Programming* Hex-and-Counter* Secret Unit Deployment,2570,Aviation / Flight* Wargame* World War II,2.4898
"		1454							",https://boardgamegeek.com/boardgame/3139/goldland,3139,2,5,60,60,60,2002,6.69535,6.17239,1183,//cf.geekdo-images.com/images/pic238750.jpg,10,Hand Management* Modular Board* Pick-up and Deliver,1289,Exploration,2.4046
"		1512							",https://boardgamegeek.com/boardgame/182694/watson-holmes-diaries-221b,182694,2,7,75,45,75,2015,7.50474,6.17235,479,//cf.geekdo-images.com/images/pic3477808.jpg,12,Auction/Bidding* Memory* Paper-and-Pencil* Player Elimination* Variable Player Powers,936,Deduction* Murder/Mystery* Novel-based,2.45
"		1464							",https://boardgamegeek.com/boardgame/40381/masters-gallery,40381,2,5,30,20,30,2009,6.59753,6.17209,1425,//cf.geekdo-images.com/images/pic1547983.jpg,8,Commodity Speculation* Hand Management,2566,Card Game,1.6579
"		1463							",https://boardgamegeek.com/boardgame/8195/viva-topo,8195,2,4,30,20,30,2002,6.88593,6.17203,890,//cf.geekdo-images.com/images/pic2607527.jpg,4,Press Your Luck* Roll / Spin and Move,1448,Animals* Children's Game* Dice,1.0938
"		1457							",https://boardgamegeek.com/boardgame/35614/where-there-discord-war-south-atlantic,35614,1,1,240,240,240,2009,7.97251,6.17188,357,//cf.geekdo-images.com/images/pic556469.jpg,0,Dice Rolling* Simulation,863,Modern Warfare* Nautical* Political* Wargame,3.0725
"		1458							",https://boardgamegeek.com/boardgame/155695/age-war,155695,2,6,30,15,30,2014,6.40875,6.17162,3246,//cf.geekdo-images.com/images/pic1977202.jpg,14,Dice Rolling* Set Collection,4906,Dice* Medieval,1.1402
"		1461							",https://boardgamegeek.com/boardgame/101/detroit-cleveland-grand-prix,101,2,6,60,60,60,1996,6.77245,6.17151,1022,//cf.geekdo-images.com/images/pic70647.jpg,8,Auction/Bidding,1247,Card Game* Racing,1.7037
"		1460							",https://boardgamegeek.com/boardgame/111/rheinlander,111,3,5,90,45,90,1999,6.61822,6.17115,1395,//cf.geekdo-images.com/images/pic49307.jpg,12,Area Control / Area Influence* Area Enclosure* Hand Management,1886,Abstract Strategy* Medieval* Territory Building,2.426
"		1480							",https://boardgamegeek.com/boardgame/32944/neue-heimat,32944,2,5,45,45,45,2007,7.19806,6.1709,573,//cf.geekdo-images.com/images/pic287913.jpg,10,Auction/Bidding,482,City Building* Economic,2.6545
"		1462							",https://boardgamegeek.com/boardgame/4249/trias,4249,2,5,45,45,45,2002,6.49103,6.1702,1873,//cf.geekdo-images.com/images/pic18004.jpg,12,Action Point Allowance System* Area Control / Area Influence* Modular Board,2283,Animals* Prehistoric,2.3944
"		1465							",https://boardgamegeek.com/boardgame/16366/funny-friends,16366,2,6,60,60,60,2005,6.47504,6.16997,2088,//cf.geekdo-images.com/images/pic133493.jpg,16,Auction/Bidding* Card Drafting* Hand Management,2441,Card Game* Humor* Mature / Adult,2.2687
"		1467							",https://boardgamegeek.com/boardgame/40425/maori,40425,2,5,30,30,30,2009,6.61289,6.16978,1341,//cf.geekdo-images.com/images/pic498125.jpg,8,Tile Placement,1246,Exploration* Nautical,1.7787
"		1453							",https://boardgamegeek.com/boardgame/28829/field-commander-rommel,28829,1,1,120,120,120,2008,6.99628,6.16938,775,//cf.geekdo-images.com/images/pic1096391.jpg,12,Area Movement* Dice Rolling,1712,Wargame* World War II,2.458
"		1471							",https://boardgamegeek.com/boardgame/23817/1861-railways-russian-empire,23817,3,6,360,360,360,2006,7.53975,6.16926,433,//cf.geekdo-images.com/images/pic1162673.jpg,12,Auction/Bidding* Route/Network Building* Stock Holding* Tile Placement,584,Economic* Trains,4.2254
"		1468							",https://boardgamegeek.com/boardgame/25951/castle-devil,25951,4,8,40,20,40,2010,6.49644,6.16916,2035,//cf.geekdo-images.com/images/pic876255.jpg,10,Hand Management* Role Playing* Variable Player Powers,3013,Bluffing* Card Game* Deduction* Fighting* Party Game,1.969
"		1469							",https://boardgamegeek.com/boardgame/16216/carcassonne-discovery,16216,2,5,30,30,30,2005,6.51173,6.16876,1914,//cf.geekdo-images.com/images/pic134384.jpg,8,Tile Placement,3070,Medieval,1.9367
"		1472							",https://boardgamegeek.com/boardgame/18985/battleground,18985,2,2,60,60,60,2005,6.96955,6.16862,889,//cf.geekdo-images.com/images/pic351980.jpg,12,Action Point Allowance System* Dice Rolling,1568,Ancient* Card Game* Fantasy* Fighting* Wargame,2.8362
"		1451							",https://boardgamegeek.com/boardgame/140125/fallen,140125,2,2,90,90,90,2014,8.18961,6.16849,406,//cf.geekdo-images.com/images/pic1667550.png,14,Dice Rolling* Hand Management* Storytelling,770,Card Game* Dice* Exploration* Fantasy,3.0526
"		1473							",https://boardgamegeek.com/boardgame/2288/blood-bowl-second-edition,2288,2,2,180,180,180,1988,6.76955,6.16826,1126,//cf.geekdo-images.com/images/pic256111.jpg,14,Dice Rolling* Grid Movement* Variable Player Powers,1675,Fantasy* Fighting* Sports,2.8298
"		1477							",https://boardgamegeek.com/boardgame/140951/thunderstone-starter-set,140951,2,5,60,45,60,2013,7.05722,6.16823,692,//cf.geekdo-images.com/images/pic1647385.jpg,12,Card Drafting* Deck / Pool Building* Hand Management,1763,Card Game* Fantasy,2.2857
"		1476							",https://boardgamegeek.com/boardgame/883/ivanhoe,883,2,5,45,45,45,2000,6.55142,6.16797,1611,//cf.geekdo-images.com/images/pic535134.jpg,10,Auction/Bidding* Hand Management* Set Collection,2079,Card Game* Fighting* Medieval,1.6129
"		1466							",https://boardgamegeek.com/boardgame/70519/cruel-necessity,70519,1,1,60,60,60,2013,7.6333,6.16781,452,//cf.geekdo-images.com/images/pic1818617.jpg,13,Action Point Allowance System* Campaign / Battle Card Driven* Point to Point Movement,1196,Civil War* Pike and Shot* Political* Religious* Renaissance* Wargame,2.72
"		1478							",https://boardgamegeek.com/boardgame/23730/gheos,23730,2,4,60,45,60,2006,6.53914,6.16672,1628,//cf.geekdo-images.com/images/pic134109.jpg,10,Area Control / Area Influence* Commodity Speculation* Stock Holding* Tile Placement,1655,Civilization* Mythology,2.4514
"		1479							",https://boardgamegeek.com/boardgame/5406/new-england,5406,3,4,90,90,90,2003,6.52172,6.16666,1751,//cf.geekdo-images.com/images/pic19214.jpg,12,Auction/Bidding* Tile Placement,2153,Economic* Territory Building,2.4681
"		1474							",https://boardgamegeek.com/boardgame/16/marracash,16,3,4,60,60,60,1996,6.84269,6.16618,873,//cf.geekdo-images.com/images/pic573942.jpg,12,Auction/Bidding,1016,Economic,2.1538
"		1481							",https://boardgamegeek.com/boardgame/126008/dungeon-command-blood-gruumsh,126008,2,2,90,90,90,2013,7.60538,6.16582,472,//cf.geekdo-images.com/images/pic1534144.jpg,12,Action Point Allowance System* Area Movement* Campaign / Battle Card Driven* Hand Management,1550,Card Game* Fantasy* Miniatures,2.3929
"		1485							",https://boardgamegeek.com/boardgame/128554/voluspa,128554,2,5,45,45,45,2012,6.73423,6.16519,1100,//cf.geekdo-images.com/images/pic1591249.jpg,10,Hand Management* Tile Placement,1283,Abstract Strategy* Mythology,1.9048
"		1483							",https://boardgamegeek.com/boardgame/162/awful-green-things-outer-space,162,2,2,90,90,90,1979,6.48718,6.16513,2258,//cf.geekdo-images.com/images/pic949958.jpg,12,Area Movement* Dice Rolling,3922,Science Fiction* Wargame,1.8321
"		1482							",https://boardgamegeek.com/boardgame/8170/return-heroes,8170,1,4,90,90,90,2003,6.51097,6.16478,1934,//cf.geekdo-images.com/images/pic210776.jpg,10,Dice Rolling* Modular Board* Pick-up and Deliver* Point to Point Movement* Role Playing* Variable Player Powers,2824,Adventure* Exploration* Fantasy,2.3502
"		1486							",https://boardgamegeek.com/boardgame/39336/megawatts,39336,2,6,120,120,120,2008,7.89772,6.16391,337,//cf.geekdo-images.com/images/pic397715.jpg,14,Auction/Bidding* Route/Network Building,528,Economic* Industry / Manufacturing,3.12
"		1484							",https://boardgamegeek.com/boardgame/35505/walk-plank,35505,3,5,20,20,20,2013,6.6701,6.1634,1289,//cf.geekdo-images.com/images/pic1600830.jpg,6,Action / Movement Programming* Player Elimination* Simultaneous Action Selection* Take That,2216,Card Game* Humor* Pirates,1.2564
"		1487							",https://boardgamegeek.com/boardgame/811/rummikub,811,2,4,60,60,60,1977,6.29409,6.16318,7983,//cf.geekdo-images.com/images/pic2286966.jpg,8,Set Collection* Tile Placement,14122,Card Game* Number,1.7781
"		1491							",https://boardgamegeek.com/boardgame/169704/vault-wars,169704,3,5,60,45,60,2015,7.02267,6.16295,740,//cf.geekdo-images.com/images/pic2709486.jpg,13,Auction/Bidding* Card Drafting* Set Collection,1496,Bluffing* Card Game* Deduction* Fantasy,2.0882
"		1495							",https://boardgamegeek.com/boardgame/95105/1st-goal,95105,2,4,150,120,150,2011,6.66683,6.16251,1232,//cf.geekdo-images.com/images/pic1172132.jpg,13,Dice Rolling* Simultaneous Action Selection,2001,Card Game* Dice* Sports,1.7917
"		1492							",https://boardgamegeek.com/boardgame/632/cloud-9,632,3,6,30,30,30,1999,6.47211,6.16233,2047,//cf.geekdo-images.com/images/pic1229626.jpg,8,Betting/Wagering* Press Your Luck,2035,Aviation / Flight* Bluffing* Card Game,1.1529
"		1488							",https://boardgamegeek.com/boardgame/1589/star-fleet-battles,1589,2,2,180,180,180,1979,6.78701,6.16183,1132,//cf.geekdo-images.com/images/pic68997.jpg,12,Hex-and-Counter* Point to Point Movement* Simultaneous Action Selection,1567,Movies / TV / Radio theme* Science Fiction* Space Exploration* Wargame,4.1549
"		1493							",https://boardgamegeek.com/boardgame/43307/baltimore-ohio,43307,3,6,120,120,120,2009,7.27276,6.16094,519,//cf.geekdo-images.com/images/pic804080.jpg,13,Route/Network Building* Stock Holding,820,Economic* Trains* Transportation,3.7656
"		1498							",https://boardgamegeek.com/boardgame/118705/geistesblitz-20,118705,2,8,30,30,30,2012,6.82528,6.1606,944,//cf.geekdo-images.com/images/pic1855044.jpg,8,Pattern Recognition,1721,Action / Dexterity* Card Game* Children's Game* Party Game* Real-time,1.2857
"		1496							",https://boardgamegeek.com/boardgame/1484/clue-great-museum-caper,1484,2,4,30,30,30,1991,6.70712,6.15982,1213,//cf.geekdo-images.com/images/pic886101.jpg,10,Partnerships* Secret Unit Deployment,2059,Children's Game* Deduction,1.9167
"		1551							",https://boardgamegeek.com/boardgame/204836/escape-room-game,204836,3,5,60,60,60,2016,7.51359,6.15941,473,//cf.geekdo-images.com/images/pic3117400.png,16,Co-operative Play,1255,Electronic* Puzzle* Real-time,2.2857
"		1494							",https://boardgamegeek.com/boardgame/35572/strozzi,35572,3,6,60,60,60,2008,6.74736,6.15937,1018,//cf.geekdo-images.com/images/pic431370.jpg,10,Commodity Speculation* Set Collection,1413,Nautical* Renaissance,2.2524
"		1489							",https://boardgamegeek.com/boardgame/3202/raf,3202,1,1,180,180,180,1986,7.30778,6.15893,529,//cf.geekdo-images.com/images/pic80789.jpg,12,Campaign / Battle Card Driven,1161,Aviation / Flight* Wargame* World War II,3.1026
"		1499							",https://boardgamegeek.com/boardgame/67877/anomia,67877,3,6,30,30,30,2010,6.65847,6.15847,1359,//cf.geekdo-images.com/images/pic2527529.jpg,10,Pattern Recognition,2196,Party Game* Real-time* Trivia* Word Game,1.0833
"		1509							",https://boardgamegeek.com/boardgame/150293/ravens-thri-sahashri,150293,2,2,45,45,45,2013,7.39259,6.15846,486,//cf.geekdo-images.com/images/pic3048542.jpg,12,Co-operative Play* Pattern Building* Press Your Luck* Tile Placement,1545,Card Game* Deduction,3.25
"		1503							",https://boardgamegeek.com/boardgame/80006/mord-im-arosa,80006,2,6,30,30,30,2010,6.62038,6.15821,1341,//cf.geekdo-images.com/images/pic792021.jpg,10,Memory,1542,Action / Dexterity* Murder/Mystery* Party Game,1.4607
"		1500							",https://boardgamegeek.com/boardgame/6050/duel-ages-set-1-worldspanner,6050,2,16,120,120,120,2003,6.59047,6.15803,1643,//cf.geekdo-images.com/images/pic22858.jpg,12,Dice Rolling* Grid Movement* Modular Board* Partnerships* Player Elimination* Variable Player Powers,2352,Adventure* Ancient* Fighting* Post-Napoleonic* Science Fiction,2.8586
"		1501							",https://boardgamegeek.com/boardgame/23686/gifttrap,23686,3,8,60,60,60,2006,6.46378,6.15713,2167,//cf.geekdo-images.com/images/pic356504.jpg,8,Simultaneous Action Selection* Voting,2661,Humor* Party Game,1.2522
